run,dataset,metric,step,pointmap_loss
dtok16,KITTI,single,2248,16.346905
dtok16,KITTI,single,2810,13.762395
dtok16,KITTI,single,3372,6.354010
dtok16,KITTI,single,3934,3.268366
dtok16,KITTI,single,4496,2.340248
dtok16,KITTI,single,5058,1.698851
dtok16,KITTI,single,5620,1.656346
dtok16,KITTI,single,6182,1.349526
dtok16,KITTI,single,6744,1.218179
dtok16,KITTI,single,7306,1.114890
dtok16,KITTI,single,7868,0.923189
dtok16,KITTI,single,8430,0.926820
dtok16,KITTI,single,8992,0.850346
dtok16,KITTI,single,9554,0.904706
dtok16,KITTI,single,10116,0.825186
dtok16,KITTI,single,10678,0.754485
dtok16,KITTI,single,11240,0.791124
dtok16,KITTI,single,11802,0.744022
dtok16,KITTI,single,12364,0.780989
dtok16,KITTI,single,12926,0.671091
dtok16,KITTI,single,13488,0.667912
dtok16,KITTI,single,14050,0.745626
dtok16,KITTI,single,14612,0.683421
dtok16,KITTI,single,15174,0.647035
dtok16,KITTI,single,15736,0.680803
dtok16,KITTI,single,16298,0.636886
dtok16,KITTI,single,16860,0.627855
dtok16,KITTI,single,17422,0.602694
dtok16,KITTI,single,17984,0.611420
dtok16,KITTI,single,18546,0.628608
dtok16,KITTI,single,19108,0.573914
dtok16,KITTI,single,19670,0.687359
dtok16,KITTI,single,20232,0.635615
dtok16,KITTI,single,20794,0.626521
dtok16,KITTI,single,21356,0.581333
dtok16,KITTI,single,21918,0.569200
dtok16,KITTI,single,22480,0.567981
dtok16,KITTI,single,23042,0.550123
dtok16,KITTI,single,23604,0.528884
dtok16,KITTI,single,24166,0.565389
dtok16,KITTI,single,24728,0.534471
dtok16,KITTI,single,25290,0.550536
dtok16,KITTI,single,25852,0.523916
dtok16,KITTI,single,26414,0.570228
dtok16,KITTI,single,26976,0.526415
dtok16,KITTI,single,27538,0.522194
dtok16,KITTI,single,28100,0.517842
dtok16,KITTI,single,28662,0.516024
dtok16,KITTI,single,29224,0.543709
dtok16,KITTI,single,29786,0.533803
dtok16,KITTI,single,30348,0.499523
dtok16,KITTI,single,30910,0.519661
dtok16,KITTI,single,31472,0.536900
dtok16,KITTI,single,32034,0.530255
dtok16,KITTI,single,32596,0.531961
dtok16,KITTI,single,33158,0.496974
dtok16,KITTI,single,33720,0.515731
dtok16,KITTI,single,34282,0.507389
dtok16,KITTI,single,34844,0.535470
dtok16,KITTI,single,35406,0.505574
dtok16,KITTI,single,35968,0.530137
dtok16,KITTI,single,36530,0.501237
dtok16,KITTI,single,37092,0.542733
dtok16,KITTI,single,37654,0.525415
dtok16,KITTI,single,38216,0.535468
dtok16,KITTI,single,38778,0.521894
dtok16,KITTI,single,39340,0.503240
dtok16,KITTI,single,39902,0.491458
dtok16,KITTI,single,40464,0.477300
dtok16,KITTI,single,41026,0.559518
dtok16,KITTI,single,41588,0.538575
dtok16,KITTI,single,42150,0.490859
dtok16,KITTI,single,42712,0.513552
dtok16,KITTI,single,43274,0.522131
dtok16,KITTI,single,43836,0.488208
dtok16,KITTI,single,44398,0.488988
dtok16,KITTI,single,44960,0.489131
dtok16,KITTI,single,45522,0.488786
